PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
01/05/2026,01/05/2026,SANITIZED DEBIT TRANSACTION 178,01/05/2026,"122,426.59",,"641,705.15",,DOC-0178
01/05/2026,01/05/2026,SANITIZED DEBIT TRANSACTION 179,01/05/2026,"280,821.18",,"360,883.97",,DOC-0179
02/05/2026,02/05/2026,SANITIZED DEBIT TRANSACTION 180,02/05/2026,"49,177.91",,"311,706.06",,DOC-0180
02/05/2026,02/05/2026,SANITIZED DEBIT TRANSACTION 181,02/05/2026,"4,159.19",,"307,546.87",,DOC-0181
02/05/2026,02/05/2026,SANITIZED DEBIT TRANSACTION 182,02/05/2026,"70,264.02",,"237,282.85",,DOC-0182
03/05/2026,03/05/2026,SANITIZED DEBIT TRANSACTION 183,03/05/2026,"48,694.28",,"188,588.57",,DOC-0183
03/05/2026,03/05/2026,SANITIZED DEBIT TRANSACTION 184,03/05/2026,"114,301.67",,"74,286.90",,DOC-0184
06/05/2026,06/05/2026,SANITIZED DEBIT TRANSACTION 185,06/05/2026,"28,111.66",,"46,175.24",,DOC-0185
07/05/2026,07/05/2026,SANITIZED DEBIT TRANSACTION 186,07/05/2026,"16,853.76",,"29,321.48",,DOC-0186
07/05/2026,07/05/2026,SANITIZED CREDIT TRANSACTION 187,07/05/2026,,"18,450,000.00","18,479,321.48",,DOC-0187
07/05/2026,07/05/2026,SANITIZED DEBIT TRANSACTION 188,07/05/2026,"450,000.00",,"18,029,321.48",,DOC-0188
07/05/2026,07/05/2026,SANITIZED DEBIT TRANSACTION 189,07/05/2026,50.00,,"18,029,271.48",,DOC-0189
07/05/2026,07/05/2026,SANITIZED DEBIT TRANSACTION 190,07/05/2026,50.00,,"18,029,221.48",,DOC-0190
07/05/2026,07/05/2026,SANITIZED DEBIT TRANSACTION 191,07/05/2026,3.75,,"18,029,217.73",,DOC-0191
09/05/2026,09/05/2026,SANITIZED DEBIT TRANSACTION 192,09/05/2026,"141,058.01",,"17,888,159.72",,DOC-0192
09/05/2026,09/05/2026,SANITIZED DEBIT TRANSACTION 193,09/05/2026,"250,000.00",,"17,638,159.72",,DOC-0193
09/05/2026,09/05/2026,SANITIZED DEBIT TRANSACTION 194,09/05/2026,50.00,,"17,638,109.72",,DOC-0194
09/05/2026,09/05/2026,SANITIZED DEBIT TRANSACTION 195,09/05/2026,50.00,,"17,638,059.72",,DOC-0195
09/05/2026,09/05/2026,SANITIZED DEBIT TRANSACTION 196,09/05/2026,3.75,,"17,638,055.97",,DOC-0196
10/05/2026,10/05/2026,SANITIZED DEBIT TRANSACTION 197,10/05/2026,"28,051.46",,"17,610,004.51",,DOC-0197
11/05/2026,11/05/2026,SANITIZED DEBIT TRANSACTION 198,11/05/2026,"520,000.00",,"17,090,004.51",,DOC-0198
11/05/2026,11/05/2026,SANITIZED DEBIT TRANSACTION 199,11/05/2026,50.00,,"17,089,954.51",,DOC-0199
11/05/2026,11/05/2026,SANITIZED DEBIT TRANSACTION 200,11/05/2026,50.00,,"17,089,904.51",,DOC-0200
11/05/2026,11/05/2026,SANITIZED DEBIT TRANSACTION 201,11/05/2026,3.75,,"17,089,900.76",,DOC-0201
12/05/2026,12/05/2026,SANITIZED DEBIT TRANSACTION 202,12/05/2026,"400,000.00",,"16,689,900.76",,DOC-0202
12/05/2026,12/05/2026,SANITIZED DEBIT TRANSACTION 203,12/05/2026,50.00,,"16,689,850.76",,DOC-0203
12/05/2026,12/05/2026,SANITIZED DEBIT TRANSACTION 204,12/05/2026,50.00,,"16,689,800.76",,DOC-0204
12/05/2026,12/05/2026,SANITIZED DEBIT TRANSACTION 205,12/05/2026,3.75,,"16,689,797.01",,DOC-0205
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 206,13/05/2026,"5,000,000.00",,"11,689,797.01",,DOC-0206
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 207,13/05/2026,50.00,,"11,689,747.01",,DOC-0207
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 208,13/05/2026,50.00,,"11,689,697.01",,DOC-0208
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 209,13/05/2026,3.75,,"11,689,693.26",,DOC-0209
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 210,13/05/2026,"460,000.00",,"11,229,693.26",,DOC-0210
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 211,13/05/2026,50.00,,"11,229,643.26",,DOC-0211
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 212,13/05/2026,50.00,,"11,229,593.26",,DOC-0212
13/05/2026,13/05/2026,SANITIZED DEBIT TRANSACTION 213,13/05/2026,3.75,,"11,229,589.51",,DOC-0213
14/05/2026,14/05/2026,SANITIZED DEBIT TRANSACTION 214,14/05/2026,"65,912.05",,"11,163,677.46",,DOC-0214
14/05/2026,14/05/2026,SANITIZED DEBIT TRANSACTION 215,14/05/2026,"25,497.52",,"11,138,179.94",,DOC-0215
14/05/2026,14/05/2026,SANITIZED CREDIT TRANSACTION 216,14/05/2026,,"5,000,000.00","16,138,179.94",,DOC-0216
14/05/2026,14/05/2026,SANITIZED DEBIT TRANSACTION 217,14/05/2026,"350,000.00",,"15,788,179.94",,DOC-0217
14/05/2026,14/05/2026,SANITIZED DEBIT TRANSACTION 218,14/05/2026,50.00,,"15,788,129.94",,DOC-0218
14/05/2026,14/05/2026,SANITIZED DEBIT TRANSACTION 219,14/05/2026,50.00,,"15,788,079.94",,DOC-0219
14/05/2026,14/05/2026,SANITIZED DEBIT TRANSACTION 220,14/05/2026,3.75,,"15,788,076.19",,DOC-0220
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 221,15/05/2026,"150,000.00",,"15,638,076.19",,DOC-0221
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 222,15/05/2026,50.00,,"15,638,026.19",,DOC-0222
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 223,15/05/2026,50.00,,"15,637,976.19",,DOC-0223
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 224,15/05/2026,3.75,,"15,637,972.44",,DOC-0224
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 225,15/05/2026,"300,000.00",,"15,337,972.44",,DOC-0225
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 226,15/05/2026,50.00,,"15,337,922.44",,DOC-0226
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 227,15/05/2026,50.00,,"15,337,872.44",,DOC-0227
15/05/2026,15/05/2026,SANITIZED DEBIT TRANSACTION 228,15/05/2026,3.75,,"15,337,868.69",,DOC-0228
16/05/2026,16/05/2026,SANITIZED DEBIT TRANSACTION 229,16/05/2026,"73,201.15",,"15,264,667.54",,DOC-0229
17/05/2026,17/05/2026,SANITIZED DEBIT TRANSACTION 230,16/05/2026,"32,288.16",,"15,232,379.38",,DOC-0230
17/05/2026,17/05/2026,SANITIZED DEBIT TRANSACTION 231,17/05/2026,"126,694.31",,"15,105,685.07",,DOC-0231
17/05/2026,17/05/2026,SANITIZED DEBIT TRANSACTION 232,17/05/2026,"550,409.50",,"14,555,275.57",,DOC-0232
17/05/2026,17/05/2026,SANITIZED DEBIT TRANSACTION 233,17/05/2026,"59,124.01",,"14,496,151.56",,DOC-0233
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 234,18/05/2026,"43,783.35",,"14,452,368.21",,DOC-0234
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 235,18/05/2026,"300,000.00",,"14,152,368.21",,DOC-0235
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 236,18/05/2026,50.00,,"14,152,318.21",,DOC-0236
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 237,18/05/2026,50.00,,"14,152,268.21",,DOC-0237
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 238,18/05/2026,3.75,,"14,152,264.46",,DOC-0238
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 239,18/05/2026,"40,816.85",,"14,111,447.61",,DOC-0239
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 240,18/05/2026,"250,000.00",,"13,861,447.61",,DOC-0240
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 241,18/05/2026,50.00,,"13,861,397.61",,DOC-0241
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 242,18/05/2026,50.00,,"13,861,347.61",,DOC-0242
18/05/2026,18/05/2026,SANITIZED DEBIT TRANSACTION 243,18/05/2026,3.75,,"13,861,343.86",,DOC-0243
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 244,19/05/2026,"500,000.00",,"13,361,343.86",,DOC-0244
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 245,19/05/2026,50.00,,"13,361,293.86",,DOC-0245
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 246,19/05/2026,50.00,,"13,361,243.86",,DOC-0246
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 247,19/05/2026,3.75,,"13,361,240.11",,DOC-0247
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 248,19/05/2026,"96,550.00",,"13,264,690.11",,DOC-0248
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 249,19/05/2026,50.00,,"13,264,640.11",,DOC-0249
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 250,19/05/2026,50.00,,"13,264,590.11",,DOC-0250
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 251,19/05/2026,3.75,,"13,264,586.36",,DOC-0251
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 252,19/05/2026,"11,500.00",,"13,253,086.36",,DOC-0252
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 253,19/05/2026,"150,000.00",,"13,103,086.36",,DOC-0253
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 254,19/05/2026,50.00,,"13,103,036.36",,DOC-0254
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 255,19/05/2026,50.00,,"13,102,986.36",,DOC-0255
19/05/2026,19/05/2026,SANITIZED DEBIT TRANSACTION 256,19/05/2026,3.75,,"13,102,982.61",,DOC-0256
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 257,19/05/2026,"7,037.80",,"13,095,944.81",,DOC-0257
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 258,20/05/2026,"7,037.80",,"13,088,907.01",,DOC-0258
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 259,20/05/2026,"7,500.00",,"13,081,407.01",,DOC-0259
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 260,20/05/2026,"15,000.00",,"13,066,407.01",,DOC-0260
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 261,20/05/2026,25.00,,"13,066,382.01",,DOC-0261
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 262,20/05/2026,50.00,,"13,066,332.01",,DOC-0262
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 263,20/05/2026,1.88,,"13,066,330.13",,DOC-0263
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 264,20/05/2026,"15,000.00",,"13,051,330.13",,DOC-0264
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 265,20/05/2026,25.00,,"13,051,305.13",,DOC-0265
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 266,20/05/2026,50.00,,"13,051,255.13",,DOC-0266
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 267,20/05/2026,1.88,,"13,051,253.25",,DOC-0267
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 268,20/05/2026,"12,600.00",,"13,038,653.25",,DOC-0268
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 269,20/05/2026,25.00,,"13,038,628.25",,DOC-0269
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 270,20/05/2026,50.00,,"13,038,578.25",,DOC-0270
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 271,20/05/2026,1.88,,"13,038,576.37",,DOC-0271
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 272,20/05/2026,"200,000.00",,"12,838,576.37",,DOC-0272
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 273,20/05/2026,50.00,,"12,838,526.37",,DOC-0273
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 274,20/05/2026,50.00,,"12,838,476.37",,DOC-0274
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 275,20/05/2026,3.75,,"12,838,472.62",,DOC-0275
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 276,20/05/2026,"1,500,000.00",,"11,338,472.62",,DOC-0276
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 277,20/05/2026,50.00,,"11,338,422.62",,DOC-0277
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 278,20/05/2026,50.00,,"11,338,372.62",,DOC-0278
20/05/2026,20/05/2026,SANITIZED DEBIT TRANSACTION 279,20/05/2026,3.75,,"11,338,368.87",,DOC-0279
21/05/2026,21/05/2026,SANITIZED DEBIT TRANSACTION 280,21/05/2026,"175,687.63",,"11,162,681.24",,DOC-0280
21/05/2026,21/05/2026,SANITIZED DEBIT TRANSACTION 281,21/05/2026,"21,388.78",,"11,141,292.46",,DOC-0281
22/05/2026,22/05/2026,SANITIZED DEBIT TRANSACTION 282,22/05/2026,"14,066.97",,"11,127,225.49",,DOC-0282
22/05/2026,22/05/2026,SANITIZED DEBIT TRANSACTION 283,22/05/2026,"142,168.48",,"10,985,057.01",,DOC-0283
22/05/2026,22/05/2026,SANITIZED DEBIT TRANSACTION 284,22/05/2026,"1,000,000.00",,"9,985,057.01",,DOC-0284
23/05/2026,23/05/2026,SANITIZED DEBIT TRANSACTION 285,23/05/2026,"200,000.00",,"9,785,057.01",,DOC-0285
23/05/2026,23/05/2026,SANITIZED DEBIT TRANSACTION 286,23/05/2026,50.00,,"9,785,007.01",,DOC-0286
23/05/2026,23/05/2026,SANITIZED DEBIT TRANSACTION 287,23/05/2026,50.00,,"9,784,957.01",,DOC-0287
23/05/2026,23/05/2026,SANITIZED DEBIT TRANSACTION 288,23/05/2026,3.75,,"9,784,953.26",,DOC-0288
23/05/2026,23/05/2026,SANITIZED DEBIT TRANSACTION 289,23/05/2026,"81,664.68",,"9,703,288.58",,DOC-0289
24/05/2026,24/05/2026,SANITIZED DEBIT TRANSACTION 290,24/05/2026,"180,000.00",,"9,523,288.58",,DOC-0290
24/05/2026,24/05/2026,SANITIZED DEBIT TRANSACTION 291,24/05/2026,50.00,,"9,523,238.58",,DOC-0291
24/05/2026,24/05/2026,SANITIZED DEBIT TRANSACTION 292,24/05/2026,50.00,,"9,523,188.58",,DOC-0292
24/05/2026,24/05/2026,SANITIZED DEBIT TRANSACTION 293,24/05/2026,3.75,,"9,523,184.83",,DOC-0293
25/05/2026,25/05/2026,SANITIZED DEBIT TRANSACTION 294,25/05/2026,"145,583.97",,"9,377,600.86",,DOC-0294
25/05/2026,25/05/2026,SANITIZED DEBIT TRANSACTION 295,25/05/2026,"150,000.00",,"9,227,600.86",,DOC-0295
25/05/2026,25/05/2026,SANITIZED DEBIT TRANSACTION 296,25/05/2026,50.00,,"9,227,550.86",,DOC-0296
25/05/2026,25/05/2026,SANITIZED DEBIT TRANSACTION 297,25/05/2026,50.00,,"9,227,500.86",,DOC-0297
25/05/2026,25/05/2026,SANITIZED DEBIT TRANSACTION 298,25/05/2026,3.75,,"9,227,497.11",,DOC-0298
25/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 299,25/05/2026,"100,000.00",,"9,127,497.11",,DOC-0299
25/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 300,25/05/2026,50.00,,"9,127,447.11",,DOC-0300
25/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 301,25/05/2026,50.00,,"9,127,397.11",,DOC-0301
25/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 302,25/05/2026,3.75,,"9,127,393.36",,DOC-0302
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 303,26/05/2026,"18,800.00",,"9,108,593.36",,DOC-0303
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 304,26/05/2026,25.00,,"9,108,568.36",,DOC-0304
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 305,26/05/2026,50.00,,"9,108,518.36",,DOC-0305
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 306,26/05/2026,1.88,,"9,108,516.48",,DOC-0306
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 307,26/05/2026,"150,000.00",,"8,958,516.48",,DOC-0307
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 308,26/05/2026,50.00,,"8,958,466.48",,DOC-0308
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 309,26/05/2026,50.00,,"8,958,416.48",,DOC-0309
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 310,26/05/2026,3.75,,"8,958,412.73",,DOC-0310
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 311,26/05/2026,"120,000.00",,"8,838,412.73",,DOC-0311
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 312,26/05/2026,50.00,,"8,838,362.73",,DOC-0312
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 313,26/05/2026,50.00,,"8,838,312.73",,DOC-0313
26/05/2026,26/05/2026,SANITIZED DEBIT TRANSACTION 314,26/05/2026,3.75,,"8,838,308.98",,DOC-0314
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 315,27/05/2026,"7,045.53",,"8,831,263.45",,DOC-0315
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 316,27/05/2026,"200,000.00",,"8,631,263.45",,DOC-0316
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 317,27/05/2026,50.00,,"8,631,213.45",,DOC-0317
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 318,27/05/2026,50.00,,"8,631,163.45",,DOC-0318
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 319,27/05/2026,3.75,,"8,631,159.70",,DOC-0319
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 320,27/05/2026,"387,876.00",,"8,243,283.70",,DOC-0320
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 321,27/05/2026,"429,461.00",,"7,813,822.70",,DOC-0321
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 322,27/05/2026,"559,719.00",,"7,254,103.70",,DOC-0322
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 323,27/05/2026,50.00,,"7,254,053.70",,DOC-0323
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 324,27/05/2026,50.00,,"7,254,003.70",,DOC-0324
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 325,27/05/2026,3.75,,"7,253,999.95",,DOC-0325
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 326,27/05/2026,"757,892.00",,"6,496,107.95",,DOC-0326
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 327,27/05/2026,50.00,,"6,496,057.95",,DOC-0327
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 328,27/05/2026,50.00,,"6,496,007.95",,DOC-0328
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 329,27/05/2026,3.75,,"6,496,004.20",,DOC-0329
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 330,27/05/2026,"658,367.00",,"5,837,637.20",,DOC-0330
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 331,27/05/2026,50.00,,"5,837,587.20",,DOC-0331
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 332,27/05/2026,50.00,,"5,837,537.20",,DOC-0332
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 333,27/05/2026,3.75,,"5,837,533.45",,DOC-0333
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 334,27/05/2026,"466,889.00",,"5,370,644.45",,DOC-0334
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 335,27/05/2026,50.00,,"5,370,594.45",,DOC-0335
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 336,27/05/2026,50.00,,"5,370,544.45",,DOC-0336
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 337,27/05/2026,3.75,,"5,370,540.70",,DOC-0337
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 338,27/05/2026,"484,691.00",,"4,885,849.70",,DOC-0338
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 339,27/05/2026,50.00,,"4,885,799.70",,DOC-0339
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 340,27/05/2026,50.00,,"4,885,749.70",,DOC-0340
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 341,27/05/2026,3.75,,"4,885,745.95",,DOC-0341
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 342,27/05/2026,"436,341.00",,"4,449,404.95",,DOC-0342
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 343,27/05/2026,50.00,,"4,449,354.95",,DOC-0343
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 344,27/05/2026,50.00,,"4,449,304.95",,DOC-0344
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 345,27/05/2026,3.75,,"4,449,301.20",,DOC-0345
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 346,27/05/2026,"429,461.00",,"4,019,840.20",,DOC-0346
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 347,27/05/2026,50.00,,"4,019,790.20",,DOC-0347
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 348,27/05/2026,50.00,,"4,019,740.20",,DOC-0348
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 349,27/05/2026,3.75,,"4,019,736.45",,DOC-0349
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 350,27/05/2026,"400,000.00",,"3,619,736.45",,DOC-0350
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 351,27/05/2026,50.00,,"3,619,686.45",,DOC-0351
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 352,27/05/2026,50.00,,"3,619,636.45",,DOC-0352
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 353,27/05/2026,3.75,,"3,619,632.70",,DOC-0353
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 354,27/05/2026,"450,000.00",,"3,169,632.70",,DOC-0354
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 355,27/05/2026,50.00,,"3,169,582.70",,DOC-0355
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 356,27/05/2026,50.00,,"3,169,532.70",,DOC-0356
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 357,27/05/2026,3.75,,"3,169,528.95",,DOC-0357
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 358,27/05/2026,"350,000.00",,"2,819,528.95",,DOC-0358
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 359,27/05/2026,50.00,,"2,819,478.95",,DOC-0359
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 360,27/05/2026,50.00,,"2,819,428.95",,DOC-0360
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 361,27/05/2026,3.75,,"2,819,425.20",,DOC-0361
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 362,27/05/2026,"200,000.00",,"2,619,425.20",,DOC-0362
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 363,27/05/2026,50.00,,"2,619,375.20",,DOC-0363
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 364,27/05/2026,50.00,,"2,619,325.20",,DOC-0364
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 365,27/05/2026,3.75,,"2,619,321.45",,DOC-0365
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 366,27/05/2026,"72,727.00",,"2,546,594.45",,DOC-0366
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 367,27/05/2026,50.00,,"2,546,544.45",,DOC-0367
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 368,27/05/2026,50.00,,"2,546,494.45",,DOC-0368
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 369,27/05/2026,3.75,,"2,546,490.70",,DOC-0369
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 370,27/05/2026,"400,000.00",,"2,146,490.70",,DOC-0370
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 371,27/05/2026,50.00,,"2,146,440.70",,DOC-0371
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 372,27/05/2026,50.00,,"2,146,390.70",,DOC-0372
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 373,27/05/2026,3.75,,"2,146,386.95",,DOC-0373
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 374,27/05/2026,"444,466.00",,"1,701,920.95",,DOC-0374
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 375,27/05/2026,50.00,,"1,701,870.95",,DOC-0375
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 376,27/05/2026,50.00,,"1,701,820.95",,DOC-0376
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 377,27/05/2026,3.75,,"1,701,817.20",,DOC-0377
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 378,27/05/2026,"234,939.00",,"1,466,878.20",,DOC-0378
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 379,27/05/2026,50.00,,"1,466,828.20",,DOC-0379
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 380,27/05/2026,50.00,,"1,466,778.20",,DOC-0380
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 381,27/05/2026,3.75,,"1,466,774.45",,DOC-0381
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 382,27/05/2026,"15,000.00",,"1,451,774.45",,DOC-0382
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 383,27/05/2026,25.00,,"1,451,749.45",,DOC-0383
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 384,27/05/2026,50.00,,"1,451,699.45",,DOC-0384
27/05/2026,27/05/2026,SANITIZED DEBIT TRANSACTION 385,27/05/2026,1.88,,"1,451,697.57",,DOC-0385
28/05/2026,28/05/2026,SANITIZED DEBIT TRANSACTION 386,28/05/2026,"338,515.68",,"1,113,181.89",,DOC-0386
