PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
12/04/2026,12/04/2026,SANITIZED DEBIT TRANSACTION 022,12/04/2026,50.00,,"22,370,865.42",,DOC-0022
12/04/2026,12/04/2026,SANITIZED DEBIT TRANSACTION 023,12/04/2026,50.00,,"22,370,815.42",,DOC-0023
12/04/2026,12/04/2026,SANITIZED DEBIT TRANSACTION 024,12/04/2026,3.75,,"22,370,811.67",,DOC-0024
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 025,13/04/2026,"5,000,000.00",,"17,370,811.67",,DOC-0025
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 026,13/04/2026,50.00,,"17,370,761.67",,DOC-0026
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 027,13/04/2026,50.00,,"17,370,711.67",,DOC-0027
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 028,13/04/2026,3.75,,"17,370,707.92",,DOC-0028
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 029,13/04/2026,"2,500,000.00",,"14,870,707.92",,DOC-0029
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 030,13/04/2026,50.00,,"14,870,657.92",,DOC-0030
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 031,13/04/2026,50.00,,"14,870,607.92",,DOC-0031
13/04/2026,13/04/2026,SANITIZED DEBIT TRANSACTION 032,13/04/2026,3.75,,"14,870,604.17",,DOC-0032
14/04/2026,14/04/2026,SANITIZED DEBIT TRANSACTION 033,14/04/2026,"850,000.00",,"14,020,604.17",,DOC-0033
14/04/2026,14/04/2026,SANITIZED DEBIT TRANSACTION 034,14/04/2026,50.00,,"14,020,554.17",,DOC-0034
14/04/2026,14/04/2026,SANITIZED DEBIT TRANSACTION 035,14/04/2026,50.00,,"14,020,504.17",,DOC-0035
14/04/2026,14/04/2026,SANITIZED DEBIT TRANSACTION 036,14/04/2026,3.75,,"14,020,500.42",,DOC-0036
16/04/2026,16/04/2026,SANITIZED DEBIT TRANSACTION 037,16/04/2026,"126,134.34",,"13,894,366.08",,DOC-0037
16/04/2026,16/04/2026,SANITIZED DEBIT TRANSACTION 038,16/04/2026,"161,500.00",,"13,732,866.08",,DOC-0038
16/04/2026,16/04/2026,SANITIZED DEBIT TRANSACTION 039,16/04/2026,50.00,,"13,732,816.08",,DOC-0039
16/04/2026,16/04/2026,SANITIZED DEBIT TRANSACTION 040,16/04/2026,50.00,,"13,732,766.08",,DOC-0040
16/04/2026,16/04/2026,SANITIZED DEBIT TRANSACTION 041,16/04/2026,3.75,,"13,732,762.33",,DOC-0041
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 042,17/04/2026,"32,807.78",,"13,699,954.55",,DOC-0042
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 043,17/04/2026,"250,000.00",,"13,449,954.55",,DOC-0043
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 044,17/04/2026,50.00,,"13,449,904.55",,DOC-0044
17/04/2026,17/04/2026,SANITIZED DEBIT TRANSACTION 045,17/04/2026,50.00,,"13,449,854.55",,DOC-0045
